Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
Peter Looney Park,,Charlestown,235.0,Basketball,Half,,,,,POINT (-71.065427869999951 42.374261467000053),-71.06542786999995,42.37426146700005,park_features.csv,2025-11-30 19:58:11
Children's Park,,Dorchester,55.0,Playground,UA,,,,"2-5,5-12",POINT (-71.078252582999937 42.310612954000078),-71.07825258299994,42.31061295400008,park_features.csv,2025-11-30 19:58:11
Ronan Park,,Dorchester,268.0,Dog Park,UA,,,,,POINT (-71.062048576999985 42.305013087000077),-71.06204857699998,42.30501308700008,park_features.csv,2025-11-30 19:58:11
DeFilippo Playground,,Central Boston,81.0,Dog Park,UA,,,,,POINT (-71.056692389999967 42.366754248000063),-71.05669238999997,42.36675424800006,park_features.csv,2025-11-30 19:58:11
Boston Common,,Back Bay/Beacon Hill,27.0,Dog Park,UA,,,,,POINT (-71.067272937999974 42.355771035000032),-71.06727293799997,42.35577103500003,park_features.csv,2025-11-30 19:58:11
Garvey Playground,,Dorchester,130.0,Dog Park,UA,,,,,POINT (-71.044383849999974 42.28748094000008),-71.04438384999997,42.28748094000008,park_features.csv,2025-11-30 19:58:11
Downer Avenue Playground,,Dorchester,92.0,Dog Park,UA,,,,,POINT (-71.062082276999945 42.311840235000034),-71.06208227699994,42.311840235000034,park_features.csv,2025-11-30 19:58:11
Roberts Playground,,Dorchester,265.0,Futsal,,,,,,POINT (-71.072524359999989 42.285712750000073),-71.07252435999999,42.28571275000007,park_features.csv,2025-11-30 19:58:11
Harambee Park,,Dorchester,142.0,Netball,,,,,,POINT (-71.087502649999976 42.293063208000035),-71.08750264999998,42.293063208000035,park_features.csv,2025-11-30 19:58:11
Madison Park H.S. Athletic Fields,,Roxbury,183.0,Basketball,Full,,,,,POINT (-71.086007191999954 42.332483574000037),-71.08600719199995,42.33248357400004,park_features.csv,2025-11-30 19:58:11
Madison Park H.S. Athletic Fields,,Roxbury,183.0,Basketball,Full,,,,,POINT (-71.085821841999973 42.332399826000028),-71.08582184199997,42.332399826000035,park_features.csv,2025-11-30 19:58:11
Madison Park H.S. Athletic Fields,,Roxbury,183.0,Basketball,Half,,,,,POINT (-71.085894240999949 42.332674981000025),-71.08589424099995,42.332674981000025,park_features.csv,2025-11-30 19:58:11
Madison Park H.S. Athletic Fields,,Roxbury,183.0,Basketball,Half,,,,,POINT (-71.085666079999953 42.33259791100005),-71.08566607999995,42.33259791100005,park_features.csv,2025-11-30 19:58:11
Ringer Playground,,Allston-Brighton,259.0,Playground,UA,,,,"2-5,5-12",POINT (-71.137997870999982 42.350756689000036),-71.13799787099998,42.35075668900003,park_features.csv,2025-11-30 19:58:11
DeFilippo Playground,,Central Boston,81.0,Playground,UA,,,,2-5,POINT (-71.056787588999953 42.366253972000038),-71.05678758899995,42.36625397200004,park_features.csv,2025-11-30 19:58:11
Fidelis Way Park,,Allston-Brighton,117.0,Playground,UA,,,,"2-5,5-12",POINT (-71.14361665499996 42.347888234000038),-71.14361665499996,42.34788823400004,park_features.csv,2025-11-30 19:58:11
McKinney Playground,,Allston-Brighton,193.0,Playground,UA,,,,"2-5,5-12",POINT (-71.153525443999968 42.355302985000037),-71.15352544399997,42.35530298500004,park_features.csv,2025-11-30 19:58:11
Edgerly Road Playground,,Fenway/Longwood,99.0,Playground,UA,,,,"2-5,5-12",POINT (-71.087942004999945 42.346350074000043),-71.08794200499995,42.34635007400004,park_features.csv,2025-11-30 19:58:11
Ross Playground,,Hyde Park,270.0,Playground,UA,,,,"2-5,5-12",POINT (-71.111667438999973 42.263247147000072),-71.11166743899997,42.26324714700007,park_features.csv,2025-11-30 19:58:11
Amatucci Playground,,Hyde Park,7.0,Playground,UA,,,,"2-5,5-12",POINT (-71.126227761999985 42.248560242000053),-71.12622776199998,42.24856024200005,park_features.csv,2025-11-30 19:58:11
Iacono/Readville Playground,,Hyde Park,160.0,Playground,UA,,,,"2-5,5-12",POINT (-71.135638570999959 42.239089901000057),-71.13563857099996,42.23908990100006,park_features.csv,2025-11-30 19:58:11
Gibbons Playground,,Mission Hill,133.0,Playground,UA,,,,"2-5,5-12",POINT (-71.098340610999969 42.331232341000032),-71.09834061099997,42.33123234100003,park_features.csv,2025-11-30 19:58:11
McLaughlin Playground,,Mission Hill,194.0,Playground,UA,,,,"2-5,5-12",POINT (-71.103293909999934 42.328941916000076),-71.10329390999993,42.32894191600008,park_features.csv,2025-11-30 19:58:11
Jefferson Playground,,Jamaica Plain,165.0,Playground,UA,,,,5-12,POINT (-71.109038102999989 42.326208979000057),-71.10903810299999,42.32620897900006,park_features.csv,2025-11-30 19:58:11
Mozart Street Playground,,Jamaica Plain,209.0,Playground,UA,,,,"2-5,5-12",POINT (-71.104506756999967 42.322535176000031),-71.10450675699997,42.32253517600003,park_features.csv,2025-11-30 19:58:11
