BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
14.0,Charlestown High Bldg #1 -  Main,240 Medford Street,Charlestown,2129,1050.0,1050.0,Charlestown High,Charlestown HS,HS,,,POINT (-71.061069999999972 42.380110000000059),-71.06106999999997,42.38011000000006,public_schools.csv,2025-11-30 19:58:12
15.0,Edwards Bldg,28 Walker Street,Charlestown,2129,2010.0,2010.0,Edwards Middle,Edwards MS,MS,,,POINT (-71.067230649999942 42.379071679000049),-71.06723064999994,42.37907167900005,public_schools.csv,2025-11-30 19:58:12
16.0,Warren-Prescott Bldg,50 School Street,Charlestown,2129,4283.0,4283.0,Warren/Prescott,Warren/Prescott K-8,K-8,,,POINT (-71.064429998999969 42.377990000000068),-71.06442999899997,42.37799000000006,public_schools.csv,2025-11-30 19:58:12
17.0,Eliot Bldg,16 Charter Street,Boston,2113,4381.0,4381.0,Eliot K-8,Eliot K-8,K-8,,,POINT (-71.053369079999982 42.366094067000063),-71.05336907999998,42.36609406700006,public_schools.csv,2025-11-30 19:58:12
21.0,Abraham Lincoln Building,152 Arlington Street,Boston,2116,1450.0,1450.0,Quincy Upper School,Quincy Upper (6-12),K-12,,,POINT (-71.069049652999979 42.348399622000045),-71.06904965299998,42.348399622000045,public_schools.csv,2025-11-30 19:58:12
22.0,Boston HS Bldg,885 Washington Street,Boston,2111,4650.0,4650.0,Quincy Lower (K-5),Quincy Lower (K-5),K-12,,,POINT (-71.064919999999972 42.347970000000032),-71.06491999999997,42.34797000000003,public_schools.csv,2025-11-30 19:58:12
24.0,Snowden Hs Bldg,150 Newbury Street,Boston,2116,1200.0,1200.0,Snowden International,Snowden HS,HS,,,POINT (-71.077969999999937 42.350570000000062),-71.07796999999994,42.35057000000006,public_schools.csv,2025-11-30 19:58:12
26.0,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1291.0,1291.0,McKinley Elementary,McKinley Elem,Special,Shared,,POINT (-71.073519998999984 42.344360000000052),-71.07351999899998,42.34436000000005,public_schools.csv,2025-11-30 19:58:12
26.0,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1294.0,1294.0,McKinley So. End Acad,McKinley S. End Acad,Special,Shared,,POINT (-71.073519998999984 42.344360000000052),-71.07351999899998,42.34436000000005,public_schools.csv,2025-11-30 19:58:12
27.0,Hurley Bldg,70 Worcester Street,Boston,2118,4260.0,4260.0,Hurley Elementary,Hurley K-8,K-8,,,POINT (-71.077739999999949 42.338750000000061),-71.07773999999995,42.33875000000006,public_schools.csv,2025-11-30 19:58:12
