SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Stony Brook Reservation CR,Private,A97,3,Hyde Park,2.556319970000000,114 Gordon Avenue,Residential District,"Parkways, Reservations & Beaches",DCR,Private,X,N,,DCR,,INFO_Reallocation From Dept,7192,YES,02136,,0,,,0.004075660612593,0.000001128780286,"MULTIPOLYGON (((-71.130976399999952 42.259854362000056, -71.131246448999946 42.25968301000006, -71.131752722999977 42.259438173000035, -71.131877542999973 42.259095553000066, -71.131396234999954 42.258454164000057, -71.13083345299998 42.25865572500004, -71.130723651999972 42.258912917000032, -71.130537209999943 42.259071229000028, -71.130781164999973 42.259559549000073, -71.130890837999971 42.259777611000061, -71.130976399999952 42.259854362000056)))"
Rink Grounds,Commonwealth of Massachusetts,A97,3,Dorchester,2.525833730000000,995 Morrissey Blvd,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,DCR+BPRD,X,X,,DCR,,INFO_Reallocation From Dept,3109,YES,02122,1602455002,0,,,0.009016554709110,0.000001115822441,
Mount Hope Park,City of Boston,A97,3,Roslindale,0.109238910000000,464 Mt Hope Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,14,PARK_Maintenance_Region 4,14,YES,02131,1806245000,0,,,0.000932696395948,0.000000048255110,"MULTIPOLYGON (((-71.118503793999935 42.284646372000054, -71.118774258999963 42.284832781000034, -71.118795344999967 42.284555988000079, -71.11862453699996 42.284548173000076, -71.118503793999935 42.284646372000054)))"
Oak Square,City of Boston,A97,1,Allston-Brighton,0.234318500000000,430 Faneuil Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,217,PARK_Maintenance_Region 4,217,YES,02135,2203371000,1948,,,0.001355976603049,0.000000103614944,
Henry Square,City of Boston,A97,1,Dorchester,0.052172670000000,Btwn Adams St and Gallivan Blvd,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,Private+BPRD,X,X,"Andrew Henry Square, Adams Square",BPRD,008,PARK_Maintenance_Region 2,8,YES,02124,ROW,1913,,,0.000665134918274,0.000000023046085,
Melnea A. Cass Recreational Complex,Commonwealth of Massachusetts,A97,3,Roxbury,2.582465030000000,120 Martin Luther King Jr. Blvd,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,DCR,X,X,"Melnea A. Cass Rink, Swimming Pool, and Spray Deck",DCR,,INFO_Reallocation From Dept,7268,YES,02119,1100260000,0,,,0.004570176740424,0.000001141435713,
Puerto Rican Veterans Memorial Park,City of Boston, ,1,South End,0.134833020000000,W Dedham St & Washington St,Open Space District,"Malls, Squares & Plazas",NULL,DND,N,X,,DND,,INFO_Reallocation From Dept,7261,NO,02118,0900150000,0,,,0.001252300220318,0.000000059613553,
Wood Island Extension Path,Massport, ,3,East Boston,1.534273080000000,,Multiple Districts,"Parks, Playgrounds & Athletic Fields",Massport,NULL,N,X,"Mary Ellen Welch Greenway, East Boston Greenway",Massport,,INFO_Reallocation from Dept,7269,YES,02128,,0,,,0.029462343717961,0.000000678762085,
Wood Island Bay Edge Park,Massport, ,3,East Boston,0.587191510000000, ,Residential District,"Parks, Playgrounds & Athletic Fields",Massport,Massport,N,X,,Massport,,INFO_Reallocation From Dept,7270,YES,02128,,0,,,0.002993789271840,0.000000259774121,
Dearborn Street Square,City of Boston,A97,1,Roxbury,0.029321850000000, ,Industrial Development Area,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,352,PARK_Maintenance_Region 5,7263,YES,02119,0802299000,0,,,0.000498596144516,0.000000012961760,"MULTIPOLYGON (((-71.078807476999941 42.329967053000075, -71.07882619999998 42.329976311000053, -71.078974986999981 42.329883146000043, -71.078891545999966 42.329807637000044, -71.078869647999966 42.329811669000037, -71.078807476999941 42.329967053000075)))"
Babson Cookson Tract,City of Boston,A97/NHL,6,Mattapan,2.411185080000000,82 Babson Street,Residential District,Urban Wilds,BCC,BPRD,X,N,,BCC,,PARK_Maintenance_Region 2,7265,YES,02126,1800532000,0,,,0.004260704762130,0.000001064923781,
Paula Titus Park,City of Boston,A97/CPA,3,Roxbury,0.182362090000000,66 Fort Ave,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,7274,PARK_Maintenance_Region 5,7274,YES,02119,1100500001,2017,,,0.001200930138697,0.000000080609064,
Watson Park,City of Boston,A97,3,South End,0.106888940000000,15 Taylor Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,7271,PARK_Maintenance_Region 6,7271,YES,02118,"0305809000,0305811000,0305829000,0305754000,0305810000",2015,,,0.001285320877632,0.000000047260646,
Nonquit Street Green,City of Boston,A97,3,Dorchester,0.340443170000000,695 701A Dudley Street and Nonquit Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,7272,PARK_Maintenance_Region 5,7272,YES,02125,"1301211000,1301212000,1301207000,1301209000,1301210000,1301206000",2022,,,0.002100361184834,0.000000150465840,
Mahoney Park,City of Boston,A97,3,South Boston,0.381076020000000,2498 Beacon Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD+Community Group/Non-Profit,X,X,"West 1st West 2nd Street, Brian R. Mahoney Memorial Park at Nook Hill",BPRD,7273,PARK_Maintenance_Region 6,7273,YES,02127,"0601265000,0601258000",2020,,,0.001906958242584,0.000000168487138,"MULTIPOLYGON (((-71.051275680999936 42.341931093000028, -71.051006376999965 42.342156007000028, -71.051217961999953 42.342292542000052, -71.051487012999985 42.34206706100008, -71.051755963999938 42.341841645000045, -71.051545755999939 42.34170553000007, -71.051275680999936 42.341931093000028)))"
Boundary I,City of Boston,A97,6,Roslindale,7.063859080000000, ,Residential District,Urban Wilds,BPRD,BPRD,X,X,,,2106,INFO_Reallocation From Dept,2106,YES,02136,1806011000,0,,,0.008026939914680,0.000003119633812,"MULTIPOLYGON (((-71.136412160999953 42.269936725000036, -71.137447825999971 42.27054293100008, -71.139565728999969 42.268667350000044, -71.138558160999935 42.268282519000024, -71.138501567999981 42.268135048000033, -71.138190423999959 42.26835058000006, -71.136412160999953 42.269936725000036)))"
Sprague Pond,City of Boston,A97,6,Hyde Park,1.196118750000000,0-4 Lakeside Avenue,Conservation Protection Subdistrict,Urban Wilds,BPRD,BPRD,X,X,Lakeside,BPRD,7275,PARK_Maintenance_Region 4,7275,YES,02136,"1812998000,1812999000",2023,,,0.003565183526508,0.000000527953430,
Codman Square Park,City of Boston,A97,1,Dorchester,0.350687180000000,Talbot Avenue,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,7276,PARK_Maintenance_Region 2,7279,YES,02124,1704781300,2025,,,0.002168360421803,0.000000154926174,
Murphy Playground,City of Boston, ,3,Jamaica Plain,2.449034140000000,20 Child Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPS,BPRD,N,X, ,BPS,7277,PARK_Maintenance_Region 3,7277,YES,02130,1103019000,0,,,0.004578168620534,0.000001082218718,"MULTIPOLYGON (((-71.112812996999935 42.307833694000067, -71.114180799999986 42.307732013000077, -71.114161779999961 42.307534951000036, -71.113916490999941 42.307552888000032, -71.113824848999968 42.306830252000054, -71.112697644999969 42.30693932500003, -71.112812996999935 42.307833694000067)))"
Union Square Plaza I,City of Boston, ,1,Allston-Brighton,0.311288710000000, ,Open Space District,"Malls, Squares & Plazas",PWD,PWD,N,X,,,,INFO_Reallocation From Dept,2047,YES,02134,,0,,,0.002813415688311,0.000000137655341,
Union Square Plaza II,City of Boston, ,1,Allston-Brighton,0.078613730000000, ,Open Space District,"Malls, Squares & Plazas",BFD,PWD,N,X,,,,INFO_Reallocation From Dept,2048,YES,02134,,0,,,0.000711643711422,0.000000034764196,
Neponset River Reservation I,Commonwealth of Massachusetts,A97/WPA/ACEC,2,Multi-District,121.550841750000004, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,DCR,,INFO_Reallocation From Dept,3101,YES,"02126, 02124, 02136",,0,,,0.213939907985518,0.000053681459189,
Neponset River Reservation II,Commonwealth of Massachusetts,A97/WPA/ACEC,2,Multi-District,62.098964430000002, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,DCR,,INFO_Reallocation From Dept,3110,YES,02136,,0,,,0.067035053327025,0.000027409563121,
