Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y
Parkman Playground,N/A,Jamaica Plain,229,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.113725144999933 42.29573864300005),-71.113725144999933,42.295738643000050
Healy Playground,N/A,Roslindale,149,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.122473250999974 42.287995683000076),-71.122473250999974,42.287995683000076
Fallon Field,N/A,Roslindale,112,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.136090829999944 42.287829678000037),-71.136090829999944,42.287829678000037
Clifford Playground,Norfolk Avenue,Roxbury,59,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.070413456999972 42.326258239000026),-71.070413456999972,42.326258239000026
Hannon Playground,N/A,Roxbury,141,Playground,Bucket Swing,N/A,N/A,N/A,"2-5,5-12",POINT (-71.071305957999982 42.319854320000047),-71.071305957999982,42.319854320000047
Doris F. Tillman Playground,N/A,Roxbury,174,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.090719569999976 42.327080479000074),-71.090719569999976,42.327080479000074
Laviscount Park,N/A,Roxbury,177,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.086318612999946 42.316343473000074),-71.086318612999946,42.316343473000074
Trotter School Playground,N/A,Roxbury,306,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.088394476999952 42.315065883000045),-71.088394476999952,42.315065883000045
Marcella Playground,N/A,Roxbury,187,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.095661357999973 42.323278855000069),-71.095661357999973,42.323278855000069
Franklin Park,El Parquesito,Roxbury,124,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.096996358999945 42.311893385000076),-71.096996358999945,42.311893385000076
Franklin Park,Tiffany Moore,Roxbury,124,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.091555268999969 42.30881725200004),-71.091555268999969,42.308817252000040
Franklin Park,American Legion Highway,Roxbury,124,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.090347730999952 42.297745116000044),-71.090347730999952,42.297745116000044
Beauford Play Area,N/A,Roxbury,18,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.075648082999976 42.315904681000063),-71.075648082999976,42.315904681000063
Ceylon Park,Columbia Road,Dorchester,49,Playground,UA,N/A,N/A,N/A,2-12,POINT (-71.073744784999974 42.309555468000042),-71.073744784999974,42.309555468000042
